Review ID,App Id,User Id,Rating,Text
0,54,128,3,Veniam quaerat quae tempore rem dolorum nobis.
1,91,243,2,Blanditiis ducimus occaecati excepturi explicabo at.
2,30,121,5,Beatae perferendis veniam corporis delectus molestiae architecto id ut vel.
3,9,201,3,Debitis ullam ipsum eveniet inventore culpa cum rem aliquam.
4,8,41,1,Hic quod nisi nemo sequi.
5,9,286,2,Ex cum praesentium saepe.
6,33,183,1,Temporibus minima neque soluta eveniet vero delectus quam saepe fugit.
7,57,218,4,Iure saepe assumenda.
8,1,52,1,Sunt commodi dicta.
9,14,215,5,Facere itaque odit facilis repellat quidem.
10,22,269,1,Asperiores officiis facilis soluta officiis quod modi occaecati quibusdam.
11,12,7,5,Aliquid perferendis rerum qui.
12,69,75,2,Tempora perferendis repellendus.
13,61,231,3,Laborum eos iure blanditiis sunt est laborum.
14,95,199,5,Ipsa alias cumque vero suscipit quis mollitia ipsam.
15,50,48,3,Illo expedita eligendi laudantium voluptatibus.
16,91,118,2,Voluptate sunt reprehenderit quod.
17,43,85,4,Recusandae iure esse odit perferendis minus a.
18,44,134,5,Et corporis eveniet delectus laborum autem quidem facere.
19,5,71,3,Corrupti dolorem perspiciatis dolor architecto unde aliquam.
20,11,282,4,Porro architecto dolore culpa eaque ipsa.
21,78,170,4,Ea cumque iure ratione temporibus occaecati.
22,96,133,5,Atque quam recusandae fuga modi.
23,15,134,5,Mollitia facilis quia accusantium quam cupiditate natus recusandae.
24,99,9,3,Nam hic rerum suscipit dolor consequuntur labore corrupti modi soluta.
25,8,22,2,Cupiditate illum dolores aut nobis perspiciatis id quas nam.
26,100,125,2,Fuga eos vero quas eum voluptatem.
27,89,99,1,Deserunt atque sed doloremque aspernatur inventore maiores labore.
28,55,148,1,Tempore veniam optio voluptatum sapiente exercitationem quaerat distinctio illum recusandae.
29,19,277,5,Doloremque sunt animi temporibus beatae beatae accusamus.
30,19,182,4,Maxime fugiat maiores recusandae doloremque incidunt iure repellendus facilis.
31,6,284,5,Quas impedit sunt nobis cupiditate similique.
32,52,1,1,Dolores vero voluptatibus.
33,19,119,3,Impedit perferendis pariatur occaecati mollitia voluptatibus aliquam quam.
34,87,209,2,Repellat illo ipsum.
35,19,274,3,Sint provident adipisci laboriosam tempore eos quas dignissimos voluptatem expedita.
36,35,107,1,Velit porro quod voluptate eveniet eligendi ducimus a vel unde.
37,73,194,4,Impedit velit sed.
38,4,58,1,Quae odit earum ipsum porro repudiandae.
39,28,32,3,Repellat dolorem sed beatae est.
40,25,177,1,Maxime culpa ipsum.
41,8,291,2,Commodi hic similique.
42,26,238,3,Eveniet saepe eveniet aspernatur vitae.
43,94,286,1,Est explicabo temporibus temporibus alias.
44,87,131,1,Accusantium at nesciunt aspernatur excepturi voluptas eveniet.
45,19,217,1,Quos expedita similique exercitationem inventore necessitatibus tenetur.
46,29,37,5,Accusamus totam ut atque possimus alias cumque at consequuntur doloremque.
47,95,97,4,A deserunt quidem a reiciendis quis modi.
48,99,256,2,Deserunt illo alias sit ipsum officiis tempora natus.
49,2,174,3,Quis consectetur molestias.
50,96,22,2,Tenetur eos asperiores libero odio saepe voluptatum non.
51,4,174,1,Perspiciatis inventore laboriosam totam nam.
52,97,167,5,Laborum iste amet impedit illum natus molestiae.
53,49,222,3,Earum sequi atque laboriosam nisi voluptatem occaecati sapiente nisi.
54,83,171,4,Autem voluptatum possimus saepe laboriosam velit ipsa necessitatibus.
55,20,263,1,Laudantium consequatur voluptatum ab molestias ea.
56,58,221,3,Earum iure nulla dolorem vel ratione pariatur.
57,36,14,5,Voluptates facilis possimus error aut minima beatae.
58,95,140,1,Soluta maxime asperiores perspiciatis repudiandae provident perspiciatis.
59,99,20,2,At neque architecto fugit quos ut quibusdam.
60,9,210,4,Deserunt inventore voluptatibus ducimus minima at quod laboriosam.
61,70,37,2,Quia impedit quia nulla.
62,42,130,2,Repellendus illo iste porro consectetur.
63,60,107,1,Magnam dolores id.
64,75,160,3,Quis suscipit numquam beatae ea placeat perspiciatis.
65,69,97,3,Facilis animi ad libero provident doloribus sed.
66,91,121,5,Reiciendis eum non saepe.
67,48,184,4,Aliquid tempore dolores consectetur recusandae debitis praesentium.
68,66,137,5,Dolores alias culpa libero nostrum sequi.
69,62,254,5,Distinctio earum unde perferendis quam error dicta mollitia.
70,89,75,1,Consectetur omnis voluptas incidunt id nobis ipsam quod porro expedita.
71,61,299,2,Repellat nam velit doloribus reiciendis.
72,73,253,5,Enim animi repellendus modi numquam mollitia velit blanditiis aspernatur veritatis.
73,16,87,1,Ipsum doloribus quis dicta ex enim similique.
74,61,126,5,Doloremque quo quia.
75,96,168,4,Sint delectus eos ex aliquam doloribus sequi molestias.
76,71,250,2,Dolorum quas at aperiam ullam consequuntur.
77,23,282,4,Adipisci cumque eaque excepturi aperiam distinctio.
78,52,1,1,Dolores minus minus accusamus ex nemo eligendi quas.
79,29,117,4,Similique quaerat ullam laborum minus ratione.
80,49,65,1,Enim rem voluptates velit.
81,95,219,3,Ipsa eveniet at quis qui eligendi fugiat.
82,33,72,1,Sint officiis vel necessitatibus est.
83,16,119,4,Repellat et quis doloribus expedita perferendis aspernatur.
84,35,169,3,Voluptas sunt sit exercitationem dicta quod fugit debitis.
85,46,10,5,Recusandae reprehenderit velit tenetur adipisci accusamus quisquam excepturi inventore eius.
86,32,67,1,Voluptas deleniti iusto libero magni.
87,46,234,2,Fugit praesentium similique rerum tempora voluptatibus nesciunt nesciunt eos.
88,87,185,3,Id veniam at alias quo numquam ipsam quasi.
89,25,143,4,Culpa sequi minima sit.
90,76,15,4,Odit eos cum.
91,89,163,5,Officiis ipsum velit accusamus veritatis praesentium temporibus est laborum.
92,46,254,2,Voluptas excepturi repellendus nostrum quo amet quaerat.
